"experiment","N","p","true_rank","missing_prob","signal","original_rank","new_rank","original_time","new_time","original_accuracy","new_accuracy"
1,1000,100,5,0.2,6,100,15.8,0.549968433380127,0.118340396881104,0,0
2,1000,100,10,0.2,6,100,16.8,0.547578048706055,0.120461177825928,0,0
3,1000,100,5,0.4,6,100,7.8,0.552105283737183,0.0708988189697266,0,0
4,1000,100,5,0.2,3,100,12.4,0.549248838424683,0.0973007202148437,0,0
5,2000,200,5,0.2,6,200,28.4,8.23288884162903,1.32829241752625,0,0
