"experiment","N","p","true_rank","missing_prob","signal","original_rank","new_rank","original_time","new_time","original_accuracy","new_accuracy"
1,1000,100,5,0.2,6,0,0,0.607394170761108,0.586897802352905,0,0
2,1000,100,10,0.2,6,0,0,0.583580255508423,0.594489574432373,0,0
3,1000,100,5,0.4,6,0,0,0.590442848205566,0.587345409393311,0,0
4,1000,100,5,0.2,3,0,0,0.603049612045288,0.582272005081177,0,0
5,2000,200,5,0.2,6,0,0,8.02623558044434,8.03464822769165,0,0
