"experiment","N","p","true_rank","missing_prob","signal","original_rank","new_rank","original_time","new_time","original_accuracy","new_accuracy"
1,1000,100,5,0.2,6,0,0,0.561433982849121,0.552471733093262,0,0
2,1000,100,10,0.2,6,0.2,0,0.472196388244629,0.596270942687988,0,0
3,1000,100,5,0.4,6,0,0,0.608320426940918,0.574488592147827,0,0
4,1000,100,5,0.2,3,0,0,0.640034246444702,0.59532790184021,0,0
5,2000,200,5,0.2,6,0,0,8.07843189239502,8.05812864303589,0,0
