"experiment","N","p","true_rank","missing_prob","signal","original_rank","new_rank","original_time","new_time","original_accuracy","new_accuracy"
1,1000,100,5,0.2,6,0,0,0.57914400100708,0.574609994888306,0,0
2,1000,100,10,0.2,6,0,0,0.563416051864624,0.583802461624146,0,0
3,1000,100,5,0.4,6,0,0,0.580957412719727,0.566638803482056,0,0
4,1000,100,5,0.2,3,0,0,0.587389802932739,0.574129819869995,0,0
5,2000,200,5,0.2,6,0,0,8.14492321014404,8.28638501167297,0,0
